origin,target,source,date,tabID
acrelândia,acrelândia,translateTerms(),2019-08-26,
água fria,água fria,translateTerms(),2019-08-26,
alexânia,alexânia,translateTerms(),2019-08-26,
amélia rodrigues,amélia rodrigues,translateTerms(),2019-08-26,
américa dourada,américa dourada,translateTerms(),2019-08-26,
anguera,anguera,translateTerms(),2019-08-26,
antônio gonçalves,antônio gonçalves,translateTerms(),2019-08-26,
apuarema,apuarema,translateTerms(),2019-08-26,
araças,araças,translateTerms(),2019-08-26,
arataca,arataca,translateTerms(),2019-08-26,
aratuípe,aratuípe,translateTerms(),2019-08-26,
assis brasil,assis brasil,translateTerms(),2019-08-26,
banzaê,banzaê,translateTerms(),2019-08-26,
barbalha,barbalha,translateTerms(),2019-08-26,
barra da estiva,barra da estiva,translateTerms(),2019-08-26,
barra do choça,barra do choça,translateTerms(),2019-08-26,
barra do mendes,barra do mendes,translateTerms(),2019-08-26,
barra do rocha,barra do rocha,translateTerms(),2019-08-26,
barro preto,barro preto,translateTerms(),2019-08-26,
belo campo,belo campo,translateTerms(),2019-08-26,
biritinga,biritinga,translateTerms(),2019-08-26,
bom jesus da serra,bom jesus da serra,translateTerms(),2019-08-26,
boninal,boninal,translateTerms(),2019-08-26,
botuporã,botuporã,translateTerms(),2019-08-26,
branquinha,branquinha,translateTerms(),2019-08-26,
brasiléia,brasiléia,translateTerms(),2019-08-26,
brejões,brejões,translateTerms(),2019-08-26,
buerarema,buerarema,translateTerms(),2019-08-26,
caatiba,caatiba,translateTerms(),2019-08-26,
caém,caém,translateTerms(),2019-08-26,
caetité,caetité,translateTerms(),2019-08-26,
cairu,cairu,translateTerms(),2019-08-26,
camamu,camamu,translateTerms(),2019-08-26,
candiba,candiba,translateTerms(),2019-08-26,
canutama,canutama,translateTerms(),2019-08-26,
capistrano,capistrano,translateTerms(),2019-08-26,
cardeal da silva,cardeal da silva,translateTerms(),2019-08-26,
catolândia,catolândia,translateTerms(),2019-08-26,
caturama,caturama,translateTerms(),2019-08-26,
chorrochó,chorrochó,translateTerms(),2019-08-26,
cícero dantas,cícero dantas,translateTerms(),2019-08-26,
cipó,cipó,translateTerms(),2019-08-26,
conceição do almeida,conceição do almeida,translateTerms(),2019-08-26,
conceição do jacuípe,conceição do jacuípe,translateTerms(),2019-08-26,
condeúba,condeúba,translateTerms(),2019-08-26,
contendas do sincorá,contendas do sincorá,translateTerms(),2019-08-26,
coribe,coribe,translateTerms(),2019-08-26,
coronel joão sá,coronel joão sá,translateTerms(),2019-08-26,
crato,crato,translateTerms(),2019-08-26,
cravolândia,cravolândia,translateTerms(),2019-08-26,
crisópolis,crisópolis,translateTerms(),2019-08-26,
cristópolis,cristópolis,translateTerms(),2019-08-26,
epitaciolândia,epitaciolândia,translateTerms(),2019-08-26,
érico cardoso,érico cardoso,translateTerms(),2019-08-26,
eunápolis,eunápolis,translateTerms(),2019-08-26,
feijó,feijó,translateTerms(),2019-08-26,
feira grande,feira grande,translateTerms(),2019-08-26,
feliz deserto,feliz deserto,translateTerms(),2019-08-26,
governador mangabeira,governador mangabeira,translateTerms(),2019-08-26,
guajeru,guajeru,translateTerms(),2019-08-26,
ibiassucê,ibiassucê,translateTerms(),2019-08-26,
ibirataia,ibirataia,translateTerms(),2019-08-26,
ibititá,ibititá,translateTerms(),2019-08-26,
ibotirama,ibotirama,translateTerms(),2019-08-26,
igrapiúna,igrapiúna,translateTerms(),2019-08-26,
irajuba,irajuba,translateTerms(),2019-08-26,
iraquara,iraquara,translateTerms(),2019-08-26,
irará,irará,translateTerms(),2019-08-26,
itaeté,itaeté,translateTerms(),2019-08-26,
itagi,itagi,translateTerms(),2019-08-26,
itamari,itamari,translateTerms(),2019-08-26,
itanagra,itanagra,translateTerms(),2019-08-26,
itaparica,itaparica,translateTerms(),2019-08-26,
itaquara,itaquara,translateTerms(),2019-08-26,
itiruçu,itiruçu,translateTerms(),2019-08-26,
iuiú,iuiú,translateTerms(),2019-08-26,
jati,jati,translateTerms(),2019-08-26,
jequiá da praia,jequiá da praia,translateTerms(),2019-08-26,
jeremoabo,jeremoabo,translateTerms(),2019-08-26,
jiquiriçá,jiquiriçá,translateTerms(),2019-08-26,
joaquim gomes,joaquim gomes,translateTerms(),2019-08-26,
jussiape,jussiape,translateTerms(),2019-08-26,
lafaiete coutinho,lafaiete coutinho,translateTerms(),2019-08-26,
lamarão,lamarão,translateTerms(),2019-08-26,
licínio de almeida,licínio de almeida,translateTerms(),2019-08-26,
madre de deus,madre de deus,translateTerms(),2019-08-26,
maetinga,maetinga,translateTerms(),2019-08-26,
maiquinique,maiquinique,translateTerms(),2019-08-26,
malhada,malhada,translateTerms(),2019-08-26,
malhada de pedras,malhada de pedras,translateTerms(),2019-08-26,
mâncio lima,mâncio lima,translateTerms(),2019-08-26,
manoel urbano,manoel urbano,translateTerms(),2019-08-26,
mar vermelho,mar vermelho,translateTerms(),2019-08-26,
maraú,maraú,translateTerms(),2019-08-26,
mascote,mascote,translateTerms(),2019-08-26,
meruoca,missing,translateTerms(),2019-08-26,
miguel calmon,miguel calmon,translateTerms(),2019-08-26,
milagres,milagres,translateTerms(),2019-08-26,
mirante,mirante,translateTerms(),2019-08-26,
morpará,morpará,translateTerms(),2019-08-26,
mulungu do morro,mulungu do morro,translateTerms(),2019-08-26,
muquém de são francisco,muquém de são francisco,translateTerms(),2019-08-26,
murici,murici,translateTerms(),2019-08-26,
nova canaã,nova canaã,translateTerms(),2019-08-26,
nova ibiá,nova ibiá,translateTerms(),2019-08-26,
nova redenção,nova redenção,translateTerms(),2019-08-26,
novo lino,novo lino,translateTerms(),2019-08-26,
novo triunfo,novo triunfo,translateTerms(),2019-08-26,
olho d'água das flores,olho d'água das flores,translateTerms(),2019-08-26,
ouriçangas,ouriçangas,translateTerms(),2019-08-26,
ourolândia,ourolândia,translateTerms(),2019-08-26,
palmeiras,palmeiras,translateTerms(),2019-08-26,
paripiranga,paripiranga,translateTerms(),2019-08-26,
passo de camaragibe,passo de camaragibe,translateTerms(),2019-08-26,
pau brasil,pau brasil,translateTerms(),2019-08-26,
paulo jacinto,paulo jacinto,translateTerms(),2019-08-26,
pé de serra,pé de serra,translateTerms(),2019-08-26,
pedrão,pedrão,translateTerms(),2019-08-26,
piatã,piatã,translateTerms(),2019-08-26,
pindoba,pindoba,translateTerms(),2019-08-26,
planaltino,planaltino,translateTerms(),2019-08-26,
porto calvo,porto calvo,translateTerms(),2019-08-26,
porto walter,porto walter,translateTerms(),2019-08-26,
potiraguá,potiraguá,translateTerms(),2019-08-26,
presidente jânio quadros,presidente jânio quadros,translateTerms(),2019-08-26,
quebrangulo,quebrangulo,translateTerms(),2019-08-26,
quixabeira,quixabeira,translateTerms(),2019-08-26,
retirolândia,retirolândia,translateTerms(),2019-08-26,
ribeirão do largo,ribeirão do largo,translateTerms(),2019-08-26,
salinas da margarida,salinas da margarida,translateTerms(),2019-08-26,
salvador,salvador,translateTerms(),2019-08-26,
santa brígida,santa brígida,translateTerms(),2019-08-26,
santa cruz da vitória,santa cruz da vitória,translateTerms(),2019-08-26,
santana do cariri,santana do cariri,translateTerms(),2019-08-26,
santanópolis,santanópolis,translateTerms(),2019-08-26,
santo amaro,santo amaro,translateTerms(),2019-08-26,
são félix do coribe,são félix do coribe,translateTerms(),2019-08-26,
são francisco de goiás,são francisco de goiás,translateTerms(),2019-08-26,
são francisco do conde,são francisco do conde,translateTerms(),2019-08-26,
são josé da vitória,são josé da vitória,translateTerms(),2019-08-26,
são miguel das matas,são miguel das matas,translateTerms(),2019-08-26,
são miguel dos milagres,são miguel dos milagres,translateTerms(),2019-08-26,
são patrício,são patrício,translateTerms(),2019-08-26,
sátiro dias,sátiro dias,translateTerms(),2019-08-26,
saubara,saubara,translateTerms(),2019-08-26,
senador guiomard,senador guiomard,translateTerms(),2019-08-26,
serra dourada,serra dourada,translateTerms(),2019-08-26,
sítio do quinto,sítio do quinto,translateTerms(),2019-08-26,
tapiramutá,tapiramutá,translateTerms(),2019-08-26,
tarauacá,tarauacá,translateTerms(),2019-08-26,
terra nova,terra nova,translateTerms(),2019-08-26,
tremedal,tremedal,translateTerms(),2019-08-26,
uibaí,uibaí,translateTerms(),2019-08-26,
una,una,translateTerms(),2019-08-26,
uruçuca,uruçuca,translateTerms(),2019-08-26,
várzea do poço,várzea do poço,translateTerms(),2019-08-26,
varzedo,varzedo,translateTerms(),2019-08-26,
vitória,vitória,translateTerms(),2019-08-26,
vitória da conquista,vitória da conquista,translateTerms(),2019-08-26,
wagner,wagner,translateTerms(),2019-08-26,
xapuri,xapuri,translateTerms(),2019-08-26,
,afghanistan,original,2019-08-26,
,åland,original,2019-08-26,
,albania,original,2019-08-26,
,algeria,original,2019-08-26,
,american samoa,original,2019-08-26,
,andorra,original,2019-08-26,
,angola,original,2019-08-26,
,anguilla,original,2019-08-26,
,antarctica,original,2019-08-26,
,antigua and barbuda,original,2019-08-26,
,argentina,original,2019-08-26,
,armenia,original,2019-08-26,
,aruba,original,2019-08-26,
,australia,original,2019-08-26,
,austria,original,2019-08-26,
,azerbaijan,original,2019-08-26,
,bahamas,original,2019-08-26,
,bahrain,original,2019-08-26,
,bangladesh,original,2019-08-26,
,barbados,original,2019-08-26,
,belarus,original,2019-08-26,
,belgium,original,2019-08-26,
,belize,original,2019-08-26,
,benin,original,2019-08-26,
,bermuda,original,2019-08-26,
,bhutan,original,2019-08-26,
,bolivia,original,2019-08-26,
,"bonaire, sint eustatius and saba",original,2019-08-26,
,bosnia and herzegovina,original,2019-08-26,
,botswana,original,2019-08-26,
,bouvet island,original,2019-08-26,
,brazil,original,2019-08-26,
,british indian ocean territory,original,2019-08-26,
,british virgin islands,original,2019-08-26,
,brunei,original,2019-08-26,
,bulgaria,original,2019-08-26,
,burkina faso,original,2019-08-26,
,burundi,original,2019-08-26,
,cambodia,original,2019-08-26,
,cameroon,original,2019-08-26,
,canada,original,2019-08-26,
,cape verde,original,2019-08-26,
,cayman islands,original,2019-08-26,
,central african republic,original,2019-08-26,
,chad,original,2019-08-26,
,chile,original,2019-08-26,
,china,original,2019-08-26,
,christmas island,original,2019-08-26,
,cocos islands,original,2019-08-26,
,colombia,original,2019-08-26,
,comoros,original,2019-08-26,
,cook islands,original,2019-08-26,
,costa rica,original,2019-08-26,
,côte d'ivoire,original,2019-08-26,
,croatia,original,2019-08-26,
,cuba,original,2019-08-26,
,curaçao,original,2019-08-26,
,cyprus,original,2019-08-26,
,czech republic,original,2019-08-26,
,democratic republic of the congo,original,2019-08-26,
,denmark,original,2019-08-26,
,djibouti,original,2019-08-26,
,dominica,original,2019-08-26,
,dominican republic,original,2019-08-26,
,ecuador,original,2019-08-26,
,egypt,original,2019-08-26,
,el salvador,original,2019-08-26,
,equatorial guinea,original,2019-08-26,
,eritrea,original,2019-08-26,
,estonia,original,2019-08-26,
,eswatini,original,2019-08-26,
,ethiopia,original,2019-08-26,
,falkland islands,original,2019-08-26,
,faroe islands,original,2019-08-26,
,fiji,original,2019-08-26,
,finland,original,2019-08-26,
,france,original,2019-08-26,
,french guiana,original,2019-08-26,
,french polynesia,original,2019-08-26,
,french southern territories,original,2019-08-26,
,gabon,original,2019-08-26,
,gambia,original,2019-08-26,
,georgia,original,2019-08-26,
,germany,original,2019-08-26,
,ghana,original,2019-08-26,
,gibraltar,original,2019-08-26,
,greece,original,2019-08-26,
,greenland,original,2019-08-26,
,grenada,original,2019-08-26,
,guadeloupe,original,2019-08-26,
,guam,original,2019-08-26,
,guatemala,original,2019-08-26,
,guernsey,original,2019-08-26,
,guinea,original,2019-08-26,
,guinea-bissau,original,2019-08-26,
,guyana,original,2019-08-26,
,haiti,original,2019-08-26,
,heard island and mcdonald islands,original,2019-08-26,
,honduras,original,2019-08-26,
,hong kong,original,2019-08-26,
,hungary,original,2019-08-26,
,iceland,original,2019-08-26,
,india,original,2019-08-26,
,indonesia,original,2019-08-26,
,iran,original,2019-08-26,
,iraq,original,2019-08-26,
,ireland,original,2019-08-26,
,isle of man,original,2019-08-26,
,israel,original,2019-08-26,
,italy,original,2019-08-26,
,jamaica,original,2019-08-26,
,japan,original,2019-08-26,
,jersey,original,2019-08-26,
,jordan,original,2019-08-26,
,kazakhstan,original,2019-08-26,
,kenya,original,2019-08-26,
,kiribati,original,2019-08-26,
,kosovo,original,2019-08-26,
,kuwait,original,2019-08-26,
,kyrgyzstan,original,2019-08-26,
,laos,original,2019-08-26,
,latvia,original,2019-08-26,
,lebanon,original,2019-08-26,
,lesotho,original,2019-08-26,
,liberia,original,2019-08-26,
,libya,original,2019-08-26,
,liechtenstein,original,2019-08-26,
,lithuania,original,2019-08-26,
,luxembourg,original,2019-08-26,
,macao,original,2019-08-26,
,macedonia,original,2019-08-26,
,madagascar,original,2019-08-26,
,malawi,original,2019-08-26,
,malaysia,original,2019-08-26,
,maldives,original,2019-08-26,
,mali,original,2019-08-26,
,malta,original,2019-08-26,
,marshall islands,original,2019-08-26,
,martinique,original,2019-08-26,
,mauritania,original,2019-08-26,
,mauritius,original,2019-08-26,
,mayotte,original,2019-08-26,
,mexico,original,2019-08-26,
,micronesia,original,2019-08-26,
,moldova,original,2019-08-26,
,monaco,original,2019-08-26,
,mongolia,original,2019-08-26,
,montenegro,original,2019-08-26,
,montserrat,original,2019-08-26,
,morocco,original,2019-08-26,
,mozambique,original,2019-08-26,
,myanmar,original,2019-08-26,
,namibia,original,2019-08-26,
,nauru,original,2019-08-26,
,nepal,original,2019-08-26,
,netherlands,original,2019-08-26,
,new caledonia,original,2019-08-26,
,new zealand,original,2019-08-26,
,nicaragua,original,2019-08-26,
,niger,original,2019-08-26,
,nigeria,original,2019-08-26,
,niue,original,2019-08-26,
,norfolk island,original,2019-08-26,
,north korea,original,2019-08-26,
,northern mariana islands,original,2019-08-26,
,norway,original,2019-08-26,
,oman,original,2019-08-26,
,pakistan,original,2019-08-26,
,palau,original,2019-08-26,
,palestine,original,2019-08-26,
,panama,original,2019-08-26,
,papua new guinea,original,2019-08-26,
,paraguay,original,2019-08-26,
,peru,original,2019-08-26,
,philippines,original,2019-08-26,
,pitcairn islands,original,2019-08-26,
,poland,original,2019-08-26,
,portugal,original,2019-08-26,
,puerto rico,original,2019-08-26,
,qatar,original,2019-08-26,
,republic of congo,original,2019-08-26,
,réunion,original,2019-08-26,
,romania,original,2019-08-26,
,russia,original,2019-08-26,
,rwanda,original,2019-08-26,
,saint barthélemy,original,2019-08-26,
,saint helena,original,2019-08-26,
,saint kitts and nevis,original,2019-08-26,
,saint lucia,original,2019-08-26,
,saint martin,original,2019-08-26,
,saint pierre and miquelon,original,2019-08-26,
,saint vincent and the grenadines,original,2019-08-26,
,samoa,original,2019-08-26,
,san marino,original,2019-08-26,
,são tomé and príncipe,original,2019-08-26,
,saudi arabia,original,2019-08-26,
,senegal,original,2019-08-26,
,serbia,original,2019-08-26,
,seychelles,original,2019-08-26,
,sierra leone,original,2019-08-26,
,singapore,original,2019-08-26,
,sint maarten,original,2019-08-26,
,slovakia,original,2019-08-26,
,slovenia,original,2019-08-26,
,solomon islands,original,2019-08-26,
,somalia,original,2019-08-26,
,south africa,original,2019-08-26,
,south georgia and the south sandwich islands,original,2019-08-26,
,south korea,original,2019-08-26,
,south sudan,original,2019-08-26,
,spain,original,2019-08-26,
,sri lanka,original,2019-08-26,
,sudan,original,2019-08-26,
,suriname,original,2019-08-26,
,svalbard and jan mayen,original,2019-08-26,
,sweden,original,2019-08-26,
,switzerland,original,2019-08-26,
,syria,original,2019-08-26,
,taiwan,original,2019-08-26,
,tajikistan,original,2019-08-26,
,tanzania,original,2019-08-26,
,thailand,original,2019-08-26,
,timor-leste,original,2019-08-26,
,togo,original,2019-08-26,
,tokelau,original,2019-08-26,
,tonga,original,2019-08-26,
,trinidad and tobago,original,2019-08-26,
,tunisia,original,2019-08-26,
,turkey,original,2019-08-26,
,turkmenistan,original,2019-08-26,
,turks and caicos islands,original,2019-08-26,
,tuvalu,original,2019-08-26,
,uganda,original,2019-08-26,
,ukraine,original,2019-08-26,
,united arab emirates,original,2019-08-26,
,united kingdom,original,2019-08-26,
,united states minor outlying islands,original,2019-08-26,
,united states of america,original,2019-08-26,
,uruguay,original,2019-08-26,
,uzbekistan,original,2019-08-26,
,vanuatu,original,2019-08-26,
,venezuela,original,2019-08-26,
,vietnam,original,2019-08-26,
,wallis and futuna,original,2019-08-26,
,western sahara,original,2019-08-26,
,yemen,original,2019-08-26,
,zambia,original,2019-08-26,
,zimbabwe,original,2019-08-26,
